product_id,product_name,category,price
1,Pro Fitness Yoga Mat,Sports,39.99
2,STEM Learning Robot,Toys,149.99
3,Oakwood Bookshelf,Home,179.99
4,Deluxe Train Set,Toys,89.99
5,Classic Board Game,Toys,29.99
6,Slim Fit Denim Jacket,Clothing,79.99
7,Rustic Wall Clock,Home,54.99
8,Smart Home Door Lock,Home,129.99
9,Bamboo Shoe Rack,Home,44.99
10,Kids Coloring Kit,Toys,19.99
11,Resistance Bands Set,Sports,24.99
12,Velvet Throw Blanket,Home,49.99
13,Wooden Puzzle Box,Toys,34.99
14,Cotton V-Neck T-Shirt,Clothing,19.99
15,Adjustable Dumbbell Pair,Sports,159.99
16,Premium Leather Jacket,Clothing,299.99
17,High-Impact Treadmill,Sports,799.99
18,Remote Control Car,Toys,59.99
19,Bluetooth Headphones,Electronics,129.99
20,Weighted Training Vest,Sports,79.99
21,Men's Oxford Shirt,Clothing,69.99
22,Ride-On Toy Jeep,Toys,199.99
23,All-Terrain Hiking Boots,Sports,129.99
24,Noise Cancelling Earbuds,electronics,89.99
25,4K Streaming Device,ELECTRONICS,69.99
26,King Size Bed Frame,Home,399.99
27,Memory Foam Mattress,Home,299.99
28,Women's Athletic Leggings,Clothing,49.99
29,Compression Calf Sleeves,Sports,24.99
30,Digital Jump Rope,Sports,19.99
31,Essential Oil Diffuser,Home,24.99
32,Weighted Training Ball,Sports,39.99
33,Adjustable Kettlebell,Sports,59.99
34,Portable Bluetooth Speaker,Electronics,79.99
35,Scented Candle Set,Home,19.99
36,Plush Stuffed Animal,Toys,24.99
37,Decorative Area Rug,Home,129.99
38,Wooden Train Track Set,Toys,59.99
39,Smartwatch Series 5,Electronics,199.99
40,Men's Wool Overcoat,Clothing,249.99
41,Multi-Sport Fitness Watch,Sports,149.99
42,Home Security Camera,Electronics,199.99
43,Professional Tennis Racket,Sports,149.99
44,Quilted Winter Jacket,Clothing,119.99
45,Casual Cotton Polo,Clothing,29.99
46,USB-C Charging Hub,ELECTRONICS,49.99
47,Women's Linen Blouse,Clothing,59.99
48,STEM Science Kit,Toys,79.99
49,Cashmere Cardigan,Clothing,199.99
50,Weighted Exercise Ball,Sports,34.99
